=== LP original V:  B = [z,A]^-e1,  A = [y,B]^-e2 ===
LP z=ys^-1 e1=1 e2=1 | H1 = 0 | |G| = 1
LP z=ys^-1 e1=1 e2=-1 | H1 = 0 | |G| = 1
LP z=ys^-1 e1=-1 e2=1 | H1 = 0 | |G| = 1
LP z=ys^-1 e1=-1 e2=-1 | H1 = 0 | |G| = 1
LP z=s^-1y e1=1 e2=1 | H1 = 0 | |G| = 1
LP z=s^-1y e1=1 e2=-1 | H1 = 0 | |G| = 1
LP z=s^-1y e1=-1 e2=1 | H1 = 0 | |G| = 1
LP z=s^-1y e1=-1 e2=-1 | H1 = 0 | |G| = 1
=== Scheme A: B r^m = [z,A]^-e1,  A (xr)^n = [y,B]^-e2 ===
A z=ys^-1 e1=1 e2=1 m=-1 n=-1 | H1 = 0 | |G| = 1
A z=ys^-1 e1=1 e2=1 m=-1 n=1 | H1 = 0 | |G| = 1
A z=ys^-1 e1=1 e2=1 m=1 n=-1 | H1 = 0 | |G| = 1
A z=ys^-1 e1=1 e2=1 m=1 n=1 | H1 = 0 | |G| = 1
A z=ys^-1 e1=1 e2=-1 m=-1 n=-1 | H1 = 0 | |G| = 1
A z=ys^-1 e1=1 e2=-1 m=-1 n=1 | H1 = 0 | |G| = 1
A z=ys^-1 e1=1 e2=-1 m=1 n=-1 | H1 = 0 | |G| = 1
A z=ys^-1 e1=1 e2=-1 m=1 n=1 | H1 = 0 | |G| = 1
A z=ys^-1 e1=-1 e2=1 m=-1 n=-1 | H1 = 0 | |G| = 1
A z=ys^-1 e1=-1 e2=1 m=-1 n=1 | H1 = 0 | |G| = 1
A z=ys^-1 e1=-1 e2=1 m=1 n=-1 | H1 = 0 | |G| = 1
A z=ys^-1 e1=-1 e2=1 m=1 n=1 | H1 = 0 | |G| = 1
A z=ys^-1 e1=-1 e2=-1 m=-1 n=-1 | H1 = 0 | |G| = 1
A z=ys^-1 e1=-1 e2=-1 m=-1 n=1 | H1 = 0 | |G| = 1
